"idlog","model","tipo","tiempo","user","pregunta","respuesta","idemocion","typechat"
"1","20","1","2022-10-31 16:31:29","0",NULL,NULL,NULL,"0"
"2","20","2","2022-10-31 16:31:29","52",NULL,NULL,NULL,"0"
"3","45","2","2022-10-31 16:31:42","46",NULL,NULL,NULL,"0"
"4","45","2","2022-10-31 16:33:25","46",NULL,NULL,NULL,"0"
"5","43","2","2022-10-31 16:33:54","41",NULL,NULL,NULL,"0"
"6","20","2","2022-10-31 16:34:02","52",NULL,NULL,NULL,"0"
"7","20","2","2022-10-31 16:34:02","52",NULL,NULL,NULL,"0"
"8","20","2","2022-10-31 16:34:17","52",NULL,NULL,NULL,"0"
"9","45","2","2022-10-31 16:34:18","53",NULL,NULL,NULL,"0"
"10","45","2","2022-10-31 16:34:27","53",NULL,NULL,NULL,"0"
"11","20","2","2022-10-31 16:34:28","52",NULL,NULL,NULL,"0"
"12","20","2","2022-10-31 16:34:37","52",NULL,NULL,NULL,"0"
"13","13","2","2022-10-31 16:35:21","54",NULL,NULL,NULL,"0"
"14","45","2","2022-10-31 16:35:28","55",NULL,NULL,NULL,"0"
"15","14","2","2022-10-31 16:38:30","57",NULL,NULL,NULL,"0"
"16","25","2","2022-10-31 16:38:40","58",NULL,NULL,NULL,"0"
"17","45","2","2022-10-31 16:39:22","46",NULL,NULL,NULL,"0"
"18","25","2","2022-10-31 16:40:21","59",NULL,NULL,NULL,"0"
"19","25","2","2022-10-31 16:40:21","58",NULL,NULL,NULL,"0"
"20","25","2","2022-10-31 16:40:22","59",NULL,NULL,NULL,"0"
"21","14","2","2022-10-31 16:42:08","38","Did u cum Baby","yes bby did u see me cum ? yes i did bby give me a huge load ","44","0"
"22","14","2","2022-10-31 16:43:24","38","What I really want to do is cum inside u","yes baby let me fuck you till you cum all over your face and on your tits and pussy ","58","0"
"23","14","2","2022-10-31 16:43:41","38","to breed with u","that would be so hot bby yes please give me your hot pussy and ass baby cum inside of me ","102","0"
"24","50","1","2022-10-31 16:43:53","0",,,"0","0"
"25","50","2","2022-10-31 16:43:56","62","drink who?","what is your favorite thing to drink bby and what is your least favorite thing about being a girl ","108","0"
"26","50","2","2022-10-31 16:44:01","62","red chill looking hot today","i love red chill it is my favorite drink by the way bby you are so hot today ","125","0"
"27","50","2","2022-10-31 16:44:04","62","red chill looking hot today","yes it is i love it so much bby drink it up for me bby make me cum ","86","0"
"28","45","2","2022-10-31 16:44:13","46","Long way to go","you got this bby we are going to have such a great day bby tell me all about yourself ","63","0"
"29","45","2","2022-10-31 16:44:29","46","Long way to go","i'm coming for u bby it's going to be great to see you again bby ","41","0"
"30","14","2","2022-10-31 16:44:37","57","i want you bebe","bby i do not want to wait any longer bby come get me now while i can bby","63","0"
"31","25","2","2022-10-31 16:44:47","12","u like to suck cock?","of course i love to be drained and cummed all over my dick and pussy bby love it ","95","0"
"32","25","2","2022-10-31 16:45:04","63","Damn baby sexy outfit","yes baby do u want to see my sexy panties bby they are the best part of my day ","63","0"
"33","45","2","2022-10-31 16:45:42","46","Send it back","bby no you take that back bby i don't want it bby take it back ","107","0"
"34","25","2","2022-10-31 16:45:58","63","You getting me hard asf baby","bby yes you are making me so hard bby fuck me bb fuck me hard now ","56","0"
"35","50","2","2022-10-31 16:46:29","62","otherwise you are sexiest girl out there","bby u so crazy bby I don't even know what to say to that bby u make me horny ","84","0"
"36","25","2","2022-10-31 16:47:57","59","You are a lovely woman","thanks bby do u have a good day so far bby talking to you is the best ","125","0"
"37","45","2","2022-10-31 16:48:19","64","Maryu","Very good now you are here","100","0"
"38","25","2","2022-10-31 16:48:22","65","Si pero solo un poco. Quiero pasar mucho tiempo contigo en privado","no lo tenia puesto ya lo puse un regalo a qui consienteme soy solo tu bby","41","0"
"39","25","2","2022-10-31 16:48:39","59","I am older guy","i am a guy and i am horny as fuck bby cum get horny on my dick bby","105","0"
"40","20","2","2022-10-31 16:49:08","66","Pretty good and yours","you are pretty good and I am good and you are good bby talk to you bby anything ","65","0"
"41","20","2","2022-10-31 16:49:11","66","Pretty good and yours","You are beautiful and I love you and I want to fuck you and fuck you all the time ","32","0"
"42","45","2","2022-10-31 16:49:20","46","Sales","Hi darling, I hope you are ready for this","59","0"
"43","20","2","2022-10-31 16:49:20","66","Pretty good and yours","You are pretty and I like you and we should have a threesome and I will fuck you ","37","0"
"44","45","2","2022-10-31 16:50:14","46","Right","hello sweety , I want you on top of me now","113","0"
